FECHA,CODPRO,CANTID,NETO
10/07/2018,DS453276,1,5490
10/07/2018,DS460978,2,17980
10/07/2018,DS453476,1,16490
10/07/2018,DS463021,3,38970
10/07/2018,DS463335,1,15429
10/07/2018,DS463555,1,186800
10/07/2018,DS463556,1,129900
10/07/2018,DS460115,1,9990
10/07/2018,DS460116,5,37450
10/07/2018,DS452718,2,40980
10/07/2018,DS451794,3,28470
10/07/2018,DS453796,4,83960
10/07/2018,DS458240,1,23990
10/07/2018,DS463336,1,29990
10/07/2018,DS462842,2,49980
10/07/2018,DS463018,1,30244
10/07/2018,DS463334,1,27302
10/07/2018,DS462843,1,7990
10/07/2018,DS462908,1,27490
10/07/2018,DS461053,4,37960
10/07/2018,DS463454,4,47960
10/07/2018,DS453576,1,12990
10/07/2018,DS461053,1,9490
10/07/2018,DS451794,2,17980
10/07/2018,DS451950,1,27490
10/07/2018,DS460724,1,26990
10/07/2018,DS460862,3,37500
10/07/2018,DS463519,3,80970
10/07/2018,DS462493,1,73490
10/07/2018,DS463530,1,748490
10/07/2018,DS463563,1,481990
10/07/2018,DS462909,1,8395
09/07/2018,DS455889,1,16490
09/07/2018,DS451980,1,18490
09/07/2018,DS461346,1,5490
09/07/2018,DS463314,1,12990
09/07/2018,DS460942,4,43960
09/07/2018,DS453142,1,19990
09/07/2018,DS461274,1,17490
09/07/2018,DS463279,2,24980
09/07/2018,DS460114,1,27990
09/07/2018,DS462469,1,20490
09/07/2018,DS463311,1,13990
09/07/2018,DS461273,1,9490
09/07/2018,DS462994,2,20980
09/07/2018,DS462889,1,50412
09/07/2018,DS460244,2,92980
09/07/2018,DS455724,1,23490
09/07/2018,DS460116,4,27960
09/07/2018,DS463451,1,27990
09/07/2018,DS463452,2,58980
09/07/2018,DS455251,1,2915
09/07/2018,DS463307,1,341990
09/07/2018,DS460144,1,10990
09/07/2018,DS460810,1,11490
09/07/2018,DS463252,1,84490
09/07/2018,DS462882,1,13490
09/07/2018,DS460062,1,11990
09/07/2018,DS462961,2,123482
09/07/2018,DS463270,1,52990
09/07/2018,DS463343,5,306600
09/07/2018,DS463344,12,814800
09/07/2018,DS463345,6,1072002
09/07/2018,DS459954,1,22400
09/07/2018,DS462835,1,22664
09/07/2018,DS460662,2,13980
09/07/2018,DS461193,2,24980
09/07/2018,DS463398,2,32980
09/07/2018,DS460978,5,44950
09/07/2018,DS453276,1,5490
09/07/2018,DS451847,1,23990
09/07/2018,DS460568,1,49490
09/07/2018,DS454733,1,25171
06/07/2018,DS460567,3,4470
06/07/2018,DS462896,2,79980
06/07/2018,DS462926,1,22990
06/07/2018,DS462415,2,54200
06/07/2018,DS462872,1,8395
06/07/2018,DS455594,1,10490
06/07/2018,DS461522,1,171990
06/07/2018,DS461522,1,171990
06/07/2018,DS460557,1,16434
06/07/2018,DS462772,1,34990
06/07/2018,DS463294,1,37807
06/07/2018,DS462967,1,10990
06/07/2018,DS462837,2,33980
06/07/2018,DS462962,1,33990
06/07/2018,DS463100,1,89990
06/07/2018,DS462764,2,33980
06/07/2018,DS462926,1,22990
06/07/2018,DS462691,1,49990
06/07/2018,DS452977,1,17990
06/07/2018,DS459249,1,26990
05/07/2018,DS458977,1,30490
05/07/2018,DS461274,1,17490
05/07/2018,DS460954,2,18980
05/07/2018,DS460272,1,77990
05/07/2018,DS460724,1,26990
05/07/2018,DS459249,1,26990
05/07/2018,DS462933,3,43470
05/07/2018,DS458240,1,22990
05/07/2018,DS462964,2,75980
05/07/2018,DS462882,2,25980
05/07/2018,DS458240,1,23490
05/07/2018,DS460978,1,8990
05/07/2018,DS458240,2,46980
05/07/2018,DS458240,1,23490
05/07/2018,DS461273,2,18980
05/07/2018,DS458240,3,70470
05/07/2018,DS462937,4,330564
05/07/2018,DS463076,1,37731
05/07/2018,DS463077,1,10000
05/07/2018,DS453582,3,16470
05/07/2018,DS462961,2,131980
05/07/2018,DS455804,1,45990
05/07/2018,DS461410,1,19900
05/07/2018,DS453476,1,16490
05/07/2018,DS463285,2,5980
05/07/2018,DS462482,1,19490
05/07/2018,DS460567,6,8940
05/07/2018,DS463024,1,632990
05/07/2018,DS452715,1,30490
05/07/2018,DS453177,1,73490
05/07/2018,DS463022,2,185980
05/07/2018,DS453568,1,15490
05/07/2018,DS462910,1,12521
05/07/2018,DS463057,1,11681
05/07/2018,DS461193,2,24980
05/07/2018,DS463276,3,134970
04/07/2018,DS454193,5,104950
